Date,Value
192001,0.5
192101,5.02
192201,5.64
192301,2.42
192401,0.73
192501,0.86
192601,2.29
192701,2.02
192801,0.31
192901,1.9
193001,5.02
193101,4.8
193201,3.28
193301,8.33
193401,1.5
193501,5.17
193601,0.79
193701,3.8
193801,3.16
193901,3.74
194001,5.49
194101,7.7
194201,1.58
194301,11.44
194401,1.82
194501,0.44
194601,0.56
194701,0.51
194801,0.01
194901,1.55
195001,3.17
195101,2.8
195201,11.25
195301,1.52
195401,5.34
195501,5.49
195601,5.03
195701,5.04
195801,2.99
195901,3.44
196001,4.31
196101,1.75
196201,2.8
196301,1.47
196401,2.33
196501,1.15
196601,2.01
196701,5.23
196801,1.32
196901,14.82
197001,3.1
197101,1
197201,0.19
197301,6.24
197401,7.55
197501,0.23
197601,0.01
197701,3.49
197801,7.55
197901,5.82
198001,5.39
198101,4.13
198201,3.91
198301,9.29
198401,0.17
198501,1.18
198601,2.12
198701,2.13
198801,2.64
198901,0.48
199001,3.19
199101,1.51
199201,2.87
199301,9.46
199401,1.83
199501,19.42
199601,2.36
199701,5.54
199801,5
199901,3.01
200001,1.87
200101,6.98
200201,1.09
200301,0.07
200401,0.63
200501,9.4
200601,4.88
200701,1.73
200801,12.59
200901,0.55
201001,8.31
201101,1.24
201201,1.64
201301,1.18
201401,0.02
201501,0.95
201601,5.22
201701,8.75
201801,2.75
201901,7.52
202001,0.63